,PMID,database,title,abstract,nerve_transfer,double_innervation_type,free_flap,other_tissue,negative_outcome,positive_outcome,measuring_tool,tool_category,botox,doi,citation,authours,year,pmid,notes,patients,time_to_reinnervation_(min),time_to_reinnervation_(max),Age,min age,max age,follow up min,follow up max,old_notes,Notes_y,nerve_transfer_type_1,nerve_transfer_type_2,nerve_transfer_type_3,other_free_flap_type_1,free_flap_type_1,free_flap_type_2,free_flap_type_3
105,26595022,Pub-med,Epidemiologic Overview of Synkinesis in 353 Patients with Longstanding Facial Paralysis under Treatment with Botulinum Toxin for 11 Years,"Background: Patients with longstanding facial paralysis often exhibit synkinesis. Few reports describe the prevalence and factors related to the development of synkinesis after facial paralysis. Botulinum toxin type A injection is an important adjunct treatment for facial paralysis-induced asymmetry and synkinesis. The authors assessed the clinical and epidemiologic characteristics of patients with sequelae of facial paralysis treated with botulinum toxin type A injections to evaluate the prevalence of synkinesis and related factors. Methods: A total of 353 patients (age, 4 to 84 years; 245 female patients) with longstanding facial paralysis underwent 2312 botulinum toxin type A injections during an 11-year follow-up. Doses used over the years, previous treatments (electrical stimulation, operations), and how they correlated to postparalysis and postreanimation synkinesis were analyzed. Results: There was a significant association between cause and surgery. Most patients with facial paralysis caused by a congenital defect, trauma, or a tumor underwent reanimation. There were no sex- or synkinesis-related differences in the doses used, but the doses were higher in the reanimation group than in the no-surgery group. Synkinesis was found in 196 patients; 148 (41.9 percent) presented with postparalysis synkinesis (oro-ocular, oculo-oral) and 58 (16.4 percent) presented with postreanimation synkinesis. Ten patients presented with both types. Conclusions: This study determined the high prevalence (55.5 percent) of synkinesis in patients with longstanding facial paralysis. Postparalysis synkinesis was positively associated with infectious and idiopathic causes, electrical stimulation, facial nerve decompression, and no requirement for surgery. Postreanimation synkinesis was present in 28.2 percent of reanimated patients and was significantly associated with microsurgical flaps, transfacial nerve grafting, masseteric-facial anastomosis, and temporalis muscle transfers.",4,,0,1,1.0,0,4,1,1,10.1097/PRS.0000000000001802,Plast Reconstr Surg. 2015 Dec;136(6):1289-1298. doi: 10.1097/PRS.0000000000001802.,"Salles AG, da Costa EF, Ferreira MC, do Nascimento Remigio AF, Moraes LB, Gemperli R.",2015,26595022,,196.0,,,,,,,,"Other type of nerve graft: masseteric, cross facial",,Masseteric nerve transfer,Cross-facial nerve transfer,,,,,
106,26710031,Pub-med,Intracranial Facial Nerve Grafting in the Setting of Skull Base Tumors: Global and Regional Facial Function Analysis and Possible Implications for Facial Reanimation Surgery,"Background: Reconstructive surgeons may encounter patients presenting after intracranial facial nerve resection and grafting in the setting of skull base tumors, who inquire regarding progression, final facial function, and need for future operations. Study goals were to analyze global and regional facial function using established grading systems and videography, while examine variables possibly affecting outcomes. Methods: Between 1997 and 2012, 28 patients underwent intracranial nerve grafting. Fifteen were prospectively evaluated by three facial nerve physical therapists with the Facial Nerve Grading System 2.0 and the Sunnybrook Facial Grading Score for function and the Facial Disability Index for quality of life. Still photographs and videography were used to assess quality of motion and tone, while demographic and medical variables were analyzed regarding their effect on end results. Results: Average patient age was 41.9 years (range, 22 to 66 years), and there were 10 women and five men. Average time interval between nerve grafting and evaluations was 42.9 months (range, 12 to 146 months). Both grading scores demonstrated best outcomes in the periorbita and worst outcomes in the brow. Buccinator muscle tone also improved. The average total Facial Disability Index was 67.5 percent. Although not statistically significant, the data suggest that nerve gap length affected total resting symmetry and voluntary movement, whereas preoperative palsy and age may affect total resting symmetry. Perioperative radiation therapy, tumor type, donor nerve, and coaptation technique were not found to affect outcomes. Conclusions: Intracranial facial nerve grafting largely provides better resting tone and facial symmetry, potentially improving end results of future intervention; however, overall voluntary facial motion is poor. Clinical question/level of evidence: Therapeutic, IV.",5,,0,0,9.0,9,8,1,0,10.1097/PRS.0000000000001881,Plast Reconstr Surg. 2016 Jan;137(1):267-278. doi: 10.1097/PRS.0000000000001881.,"Rozen SM, Harrison BL, Isaacson B, Kutz JW Jr, Roland PS, Blau PA, Barnett SL, Mickey BE.",2016,26710031,,28.0,,,,,,,,"Multiple nerve grafts:nerve graft,nerve grafting",,Undefined facial nerve transfer,,,,,,
107,26719351,Pub-med,Evolution of Patients With Immediate Complete Facial Paralysis Secondary to Acoustic Neuroma Surgery,"Objective: To study the evolution of patients with immediate complete facial paralysis after acoustic neuroma surgery in different scenarios and assess different facial reanimations techniques. Methods: This study included 50 patients with complete facial paralysis immediately after acoustic neuroma surgery. Data were analyzed into 4 groups according to the need and type of reconstruction of the facial nerve, either none, immediate, or on a deferred basis. All patients had intraoperative facial nerve monitoring, and facial nerve function was evaluated according the House-Brackmann (HB) scale. Results: Of all patients with immediate total paralysis, no patients achieved totally normal facial function (grade I), and only 5 (10%) recovered to a grade II. For all groups included, the majority of patients (82%) achieved an acceptable final facial function (grade III HB). In this series, only 2 patients remained with a grade VI facial function. Conclusions: The possibility of recovering near normal facial function after a grade VI facial paralysis is very low. Procedures like the immediate repair of the facial nerve with an interposed donor graft may provide better facial function in patients with partially injured facial nerve. Even in cases of total section, there are other procedures that can improve the results.",0,,0,2,9.0,9,2,1,0,10.1177/0003489415624700,Ann Otol Rhinol Laryngol. 2016 Jun;125(6):495-500. doi: 10.1177/0003489415624700. Epub 2015 Dec 30.,"Pardo-Maza A, Lassaletta L, Gonz‚Äö√Ñ√∂‚àö‚Ä†‚àö‚àÇ¬¨¬®‚Äö√†√ªlez-Otero T, Roda JM, Moraleda S, Arbizu ‚Äö√Ñ√∂‚àö‚Ä†‚àö‚àÇ‚Äö√†√∂‚àö√±, Gavil‚Äö√Ñ√∂‚àö‚Ä†‚àö‚àÇ¬¨¬®‚Äö√†√ªn J.",2016,26719351,,50.0,,,,,,,,,,no nerve transfer,,,,,,
108,26752232,Pub-med,Assessment of functional outcomes of temporalis muscle transfers for patients with longstanding facial paralysis,"Background: Usually, clinical evaluation of facial reanimation provides accurate information about contraction of the mimetic muscles and phonation but fails to identify smile recovery and to quantify the motility of the lower third of the face during a smile. The purpose of this study was to verify that, in longstanding facial palsy, the modified temporalis muscle transfer (MTMT) can result in the ability to smile, not only voluntarily with chewing, but also spontaneously with a sudden emotional stimulus, and to confirm that a symmetric smile can be obtained. Methods: Ten patients of the treated group (group T; 4 women and 6 men) were randomly selected from a population of 24 patients with longstanding facial palsy treated by MTMT. Five normal subjects of the control group (group C; 3 women and 2 men) were enrolled as the control population. Functional outcomes after transposed temporalis muscle were examined and measured through clinical assessment by using a scored smile symmetry grading system, video recording, and surface electromyography (sEMG). In addition, the voluntary smile test (VST) and the not-voluntary smile test (NVST) were performed to study voluntary and spontaneous smiling. Results: Subjects in the VST group (group T) were able to smile voluntarily and the expression was characterized by symmetry. In the NVST group, they were able to smile spontaneously and the symmetry of the smile was maintained for 8 subjects and only partially for 2 subjects. During both tests, the temporalis muscle of the treated side and the orbicularis oris muscle of the not-treated side were activated during smiling, indicating spontaneous activity of the transposed temporalis muscle with an emotional stimulus. For the control group, smiles during VST and NVST were symmetric and the temporalis muscles were not activated during smiling, whereas the orbicularis oris muscles were. Conclusion: Our study shows that the Morrison MTMT is able to restore the voluntary smile ability. Particularly, this technique allows for recovery of the spontaneous smile with symmetry. This assessment would seem to suggest that the transposed temporalis muscle might adapt from a chewing to a mimetic muscle. ¬¨¬®¬¨¬Æ¬¨¬®¬¨¬© 2016 Wiley Periodicals, Inc. Head Neck 38: E1535-E1543, 2016.",0,,0,1,0.0,9,8,3,0,10.1002/hed.24275,Head Neck. 2016 Apr;38 Suppl 1:E1535-43. doi: 10.1002/hed.24275. Epub 2016 Jan 11.,"Scaglioni MF, Verdini F, Marchesini A, Neuendorf AD, Coccia D, Leo T, Riccio M.",2016,26752232,"tools: surface electromyography (sEMG), voluntary smile test (VST), not-voluntary smile test (NVST)",10.0,,,,,,,,,,no nerve transfer,,,,,,
109,26761513,Pub-med,Lengthening Temporalis Myoplasty for Single-Stage Smile Reconstruction in Children with Facial Paralysis,"Background: Free muscle transfer for dynamic smile reanimation in facial paralysis is not always predictable with regard to cosmesis. Hospital stays range from 5 to 7 days. Prolonged operative times, longer hospital stays, and excessive cheek bulk are associated with free flap options. Lengthening temporalis myoplasty offers single-stage smile reanimation with theoretical advantages over free tissue transfer. Methods: From 2012 to 2014, 18 lengthening temporalis myoplasties were performed in 14 children for smile reconstruction. A retrospective chart review was completed for demographics, operative times, length of hospital stay, and perioperative complications. Results: Fourteen consecutive patients with complete facial paralysis were included. Four patients underwent single-stage bilateral reconstruction, and 10 underwent unilateral procedures. Diagnoses included M‚Äö√Ñ√∂‚àö‚Ä†‚àö‚àÇ‚Äö√Ñ√∂‚àö‚Ä†‚àö√°bius syndrome (n = 5), posterior cranial fossa tumors (n = 4), posttraumatic (n = 2), hemifacial microsomia (n = 1), and idiopathic (n = 2). Average patient age was 10.1 years. Average operative time was 410 minutes (499 minutes for bilateral lengthening temporalis myoplasty and 373 for unilateral lengthening temporalis myoplasty). Average length of stay was 3.3 days (4.75 days for bilateral lengthening temporalis myoplasty and 2.8 for unilateral lengthening temporalis myoplasty). Nine patients required minor revisions. Conclusions: Lengthening temporalis myoplasty is a safe alternative to free tissue transfer for dynamic smile reconstruction in children with facial paralysis. Limited donor-site morbidity, shorter operative times, and shorter hospital stays are some benefits over free flap options. However, revisions are required frequently secondary to tendon avulsions and adhesions. Clinical question/level of evidence: Therapeutic, IV.",0,,2,1,0.0,9,4,1,0,10.1097/PRS.0000000000002009,Plast Reconstr Surg. 2016 Apr;137(4):1251-1261. doi: 10.1097/PRS.0000000000002009.,Panossian A.,2016,26761513,,14.0,,,,,,,,,,no nerve transfer,,,['Alt flap'],Alt,,
110,26947106,Pub-med,Immediate facial reanimation in oncological parotid surgery with neurorrhaphy of the masseteric-thoracodorsal-facial nerve branch,"The extracranial facial nerve may be sacrificed together with the parotid gland during a radical parotidectomy, and immediate reconstruction of the facial nerve is essential to maintain at least part of its function. We report five patients who had had radical parotidectomy (two with postoperative radiotherapy) and immediate (n=3) or recent (n=2) reconstructions of the masseteric-thoracodorsal-facial nerve branch. The first mimetic musculature movements started 6.2 (range 4-8.5) months postoperatively. At 24 months postoperatively clinical evaluation (modified House-Brackmann classification) showed grade V (n=3), grade IV (n=1), and grade III (n=1) repairs. This first clinical series of masseteric-thoracodorsal-facial nerve neurorrhaphies has given encouraging results, and the technique should be considered as an option for immediate or recent reconstruction of branches of the facial nerve, particularly when its trunk is not available for proximal neurorrhaphy.",0,,0,0,9.0,7,2,2,0,10.1016/j.bjoms.2016.02.014,Br J Oral Maxillofac Surg. 2016 Jun;54(5):520-5. doi: 10.1016/j.bjoms.2016.02.014. Epub 2016 Mar 2.,"Biglioli F, Tarabbia F, Allevi F, Colombo V, Giovanditto F, Latiff M, Lozza A, Previtera A, Cupello S, Rabbiosi D.",2016,26947106,,5.0,,,,,,,,,,no nerve transfer,,,,,,
111,26979182,Pub-med,"Treatment of complete facial palsy in adults: comparative study between direct hemihypoglossal-facial neurorrhaphy, hemihipoglossal-facial neurorrhaphy with grafts, and masseter to facial nerve transfer","Background: The hypoglossal (with or without grafts) and masseter nerves are frequently used as axon donors for facial reinnervation when no proximal stump of the facial nerve is available. We report our experience treating facial nerve palsies via hemihypoglossal-to-facial nerve transfers either with (HFG) or without grafts (HFD), comparing these outcomes against those of masseteric-to-facial nerve transfers (MF). Method: A total of 77 patients were analyzed retrospectively, including 51 HFD, 11 HFG, and 15 MF nerve transfer patients. Both the House-Brackmann (HB) scale and our own, newly-designed scale to rate facial reanimation post nerve transfer (quantifying symmetry at rest and when smiling, eye occlusion, and eye and mouth synkinesis when speaking) were used to enumerate the extent of recovery. Results: With both the HB and our own facial reanimation scale, the HFD and MF procedures yielded better outcome scores than HFG, though only the HGD was statistically superior. HGD produced slightly better scores than MF for everything but eye synkinesis, but these differences were generally not statistically significant. Delaying surgery beyond 2 years since injury was associated with appreciably worse outcomes when measured with our own but not the HB scale. The only predictors of outcome were the surgical technique employed and the duration of time between the initial injury and surgery. Conclusions: HFD appears to produce the most satisfactory facial reanimation results, with MF providing lesser but still satisfactory outcomes. Using interposed grafts while performing hemihypoglossal-to-facial nerve transfers should likely be avoided, whenever possible.",4,,0,0,9.0,0,2,1,0,10.1007/s00701-016-2767-7,Acta Neurochir (Wien). 2016 May;158(5):945-57; discussion 957. doi: 10.1007/s00701-016-2767-7. Epub 2016 Mar 15.,"Socolovsky M, Martins RS, di Masi G, Bonilla G, Siqueira M.",2016,26979182,"Tools: HB score, POFRA scale, newly-designed scale Outcomes: eye sikenesis, eye occlusion, smile",51.0,,,,,,,,"Multiple nerve grafts:masseter nerve,masseteric-to-facial,hypoglossal,hypoglossal-to-facial",,Masseteric nerve transfer,Hypoglossal nerve transfer,,,,,
112,27222117,Pub-med,Outcome of different facial nerve reconstruction techniques,"Introduction: There is no technique of facial nerve reconstruction that guarantees facial function recovery up to grade III. Objective: To evaluate the efficacy and safety of different facial nerve reconstruction techniques. Methods: Facial nerve reconstruction was performed in 22 patients (facial nerve interpositional graft in 11 patients and hypoglossal-facial nerve transfer in another 11 patients). All patients had facial function House-Brackmann (HB) grade VI, either caused by trauma or after resection of a tumor. All patients were submitted to a primary nerve reconstruction except 7 patients, where late reconstruction was performed two weeks to four months after the initial surgery. The follow-up period was at least two years. Results: For facial nerve interpositional graft technique, we achieved facial function HB grade III in eight patients and grade IV in three patients. Synkinesis was found in eight patients, and facial contracture with synkinesis was found in two patients. In regards to hypoglossal-facial nerve transfer using different modifications, we achieved facial function HB grade III in nine patients and grade IV in two patients. Facial contracture, synkinesis and tongue atrophy were found in three patients, and synkinesis was found in five patients. However, those who had primary direct facial-hypoglossal end-to-side anastomosis showed the best result without any neurological deficit. Conclusion: Among various reanimation techniques, when indicated, direct end-to-side facial-hypoglossal anastomosis through epineural suturing is the most effective technique with excellent outcomes for facial reanimation and preservation of tongue movement, particularly when performed as a primary technique.",3,,0,2,1.0,9,2,1,0,10.1016/j.bjorl.2015.12.010,Braz J Otorhinolaryngol. 2016 Nov-Dec;82(6):702-709. doi: 10.1016/j.bjorl.2015.12.010. Epub 2016 Mar 31.,"Mohamed A, Omi E, Honda K, Suzuki S, Ishikawa K.",2016,27222117,"Tools: HB score Outcomes:sykinesis, facial contracture, tongue atrophy,",22.0,,,,,,,,Multiple nerve grafts:hypoglossal,,Hypoglossal nerve transfer,,,,,,
113,27348018,Pub-med,Transposition of the Intratemporal Facial to Hypoglossal Nerve for Reanimation of the Paralyzed Face: The VII to XII TranspositionTechnique,"Importance: The hypoglossal nerve has long been an axonal source for reinnervation of the paralyzed face. In this study, we report our experience with transposition of the intratemporal facial nerve to the hypoglossal nerve for facial reanimation. Objectives: To determine the feasibility and outcomes of the transposition of the infratemeporal facial nerve for end-to-side coaptation to the hypoglossal nerve for facial reanimation. Design, settings, and participants: A case series of 20 patients with facial paralysis who underwent mobilization and transposition of the intratemporal segment of the facial nerve for an end-to-side coaptation to the hypoglossal nerve (the VII to XII technique). Participants were treated between January 2007 and December 2014 at a tertiary care center. Main outcomes and measures: Outcome measures include paralysis duration, facial tone, facial symmetry at rest, and with smile, oral commissure excursion, post-reanimation volitional smile, and synkinesis. Methods: Demographic data, the effects of this technique on facial tone, symmetry, oral commissure excursion and smile recovery were evaluated. Preoperative and postoperative photography and videography were reviewed. Facial symmetry was assessed with a facial asymmetry index. Smile outcomes were evaluated with a visual smile recovery scale, and lip excursion was assessed with the MEEI-SMILE system. Results: All 20 patients had adequate length of facial nerve mobilized for direct end-to-side coaptation to the hypoglossal nerve. The median duration of facial paralysis prior to treatment was 11.4 months. Median follow-up time was 29 months. Three patients were excluded from functional analysis due to lack of follow-up. Facial symmetry at rest and during animation improved in 16 of 17 patients. The median (range) time for return of facial muscle tone was 7.3 (2.0-12.0) months. A significant reduction in facial asymmetry index occurred at rest and with movement. The MEEI FACE-gram software detected a significant increase in horizontal, vertical, overall lip excursion and smile angle. No patient developed significant tongue atrophy, impaired tongue mobility, or speech or swallow dysfunction. Conclusions and relevence: Mobilization of the intratemporal segment of the facial nerve provides adequate length for direct end-to-end coaptation to the hypoglossal nerve and is effective in restoring facial tone and symmetry after facial paralysis. The resulting smile is symmetric or nearly symmetric in the majority of patients with varying degree of dental show. The additional length provided by utilizing the intratemporal segment of the facial nerve reduces the deficits associated with complete hypoglossal division/splitting, and avoids the need for interposition grafts and multiple coaptation sites. Level of evidence: 4.",3,,0,0,3.0,9,9,2,0,10.1001/jamafacial.2016.0514,JAMA Facial Plast Surg. 2016 Sep 1;18(5):370-8. doi: 10.1001/jamafacial.2016.0514.,"Kochhar A, Albathi M, Sharon JD, Ishii LE, Byrne P, Boahene KD.",2016,27348018,MEEI-SMILE system,20.0,,,,,,,,,,Hypoglossal nerve transfer,,,,,,
114,27353412,Pub-med,Facial nerve repair after operative injury: Impact of timing on hypoglossal-facial nerve graft outcomes,"Purpose: Reanimation of facial paralysis is a complex problem with multiple treatment options. One option is hypoglossal-facial nerve grafting, which can be performed in the immediate postoperative period after nerve transection, or in a delayed setting after skull base surgery when the nerve is anatomically intact but function is poor. The purpose of this study is to investigate the effect of timing of hypoglossal-facial grafting on functional outcome. Materials and methods: A retrospective case series from a single tertiary otologic referral center was performed identifying 60 patients with facial nerve injury following cerebellopontine angle tumor extirpation. Patients underwent hypoglossal-facial nerve anastomosis following facial nerve injury. Facial nerve function was measured using the House-Brackmann facial nerve grading system at a median follow-up interval of 18months. Multivariate logistic regression analysis was used determine how time to hypoglossal-facial nerve grafting affected odds of achieving House-Brackmann grade of ‚Äö√Ñ√∂‚àö√ë‚àö‚àÇ‚Äö√†√∂¬¨¬¢¬¨¬®‚àö√º3. Results: Patients who underwent acute hypoglossal-facial anastomotic repair (0-14days from injury) were more likely to achieve House-Brackmann grade ‚Äö√Ñ√∂‚àö√ë‚àö‚àÇ‚Äö√†√∂¬¨¬¢¬¨¬®‚àö√º3 compared to those that had delayed repair (OR 4.97, 95% CI 1.5-16.9, p=0.01). Conclusions: Early hypoglossal-facial anastomotic repair after acute facial nerve injury is associated with better long-term facial function outcomes and should be considered in the management algorithm.",3,,0,0,0.0,7,2,1,0,10.1016/j.amjoto.2016.05.001,Am J Otolaryngol. 2016 Nov-Dec;37(6):493-496. doi: 10.1016/j.amjoto.2016.05.001. Epub 2016 May 17.,"Yawn RJ, Wright HV, Francis DO, Stephan S, Bennett ML.",2016,27353412,,60.0,,,,,,,,Multiple nerve grafts:hypoglossal,,Hypoglossal nerve transfer,,,,,,
115,27460946,Pub-med,Spontaneity of smile after facial paralysis rehabilitation when using a non-facial donor nerve,"Introduction: The current focus in dynamic reanimation of facial paralysis lies not only in restoring movement but also regaining smile spontaneity. It has been argued that a spontaneous smile can only be achieved using the contralateral facial nerve as donor via cross-face nerve grafting. Techniques based on the motor nerve to the masseter, however, have shown good rates of spontaneity as well. Patients and methods: Patients with complete facial paralysis reanimated using free gracilis to masseteric nerve or masseteric-to-facial nerve transfer were included. Patients were grouped according to gender comparing the rates of spontaneous smile. Results: Thirty-six patients (17 women and 19 men) underwent gracilis innervated by the masseteric nerve whereas masseteric-to-facial nerve transfer was performed in 30 cases (14 women and 16 men). For both techniques, women showed significantly higher rates of spontaneity. Additionally, women recovered spontaneity earlier than men. Conclusions: Along with providing a strong and reliable commissural pull, the motor nerve to the masseter is able to restore spontaneity as well. Women seem more prone to achieving it. Brain plasticity and the close relationship between the cortical areas of the masseteric and facial nerves are most likely the mechanisms underlying smile spontaneity.",4,,1,0,0.0,2,8,1,0,10.1016/j.jcms.2016.06.031,J Craniomaxillofac Surg. 2016 Sep;44(9):1305-9. doi: 10.1016/j.jcms.2016.06.031. Epub 2016 Jul 9.,"Hontanilla B, Cabello A.",2016,27460946,"Tools: Clinical evaluation, photos/videos, EMG, Facial Clima Outcomes: spontaneous smile",36.0,,,,,,,,"Multiple nerve grafts:cross-face,masseteric nerve,masseteric-to-facial",,Cross-facial nerve transfer,Masseteric nerve transfer,,,,,
116,27501201,Pub-med,Free anterolateral thigh flap and masseter nerve transfer for reconstruction of extensive periauricular defects: Surgical technique and clinical outcomes,"Background: Radical tumor ablation in the periauricular area often results in extensive soft tissue defects, including facial nerve sacrifice, bone and/or dura defects. Reconstruction of these defects should aim at restoring facial reanimation, wound closure, and facial and neck contours. We present our experience using free anterolateral thigh flap (ALT) in combination with masseter nerve to facial nerve transfer in managing complex defects in the periauricular area. Methods: Between 2011 and 2015 six patients underwent a combined procedure of ALT flap reconstruction and masseter nerve transfer, to reconstruct extensive, post tumor resection, periauricular defects. The ALT flap was customized according to the defect. For smile restoration, the masseter nerve was transferred to the buccal branch of the facial nerve. If the facial nerve stump was preserved, interposition of nerve grafts to the zygomatic and frontal branches was performed to provide separate eye closure. The outcomes were analyzed by assessing wound closure, contour deformity, symmetry of the face, and facial nerve function. Results: There were no partial or total flap losses. Stable wound closure and adequate volume replacement in the neck was achieved in all cases, as well as good facial tonus and symmetry. The mean follow-up time of clinical outcomes was 16.8 months. Smile restoration was graded as good or excellent in four cases, moderate in one and fair in one. Conclusion: Extensive periauricular defects following oncologic resection could be adequately reconstructed in a combined procedure of free ALT flap and masseter nerve transfer to the facial nerve for smile restoration.",2,,2,0,0.0,9,4,1,0,10.1002/micr.30086,Microsurgery. 2017 Sep;37(6):479-486. doi: 10.1002/micr.30086. Epub 2016 Aug 8.,"Crist‚Äö√Ñ√∂‚àö‚Ä†‚àö‚àÇ‚Äö√Ñ√∂‚àö¬¢‚Äö√Ñ¬¢bal L, Linder S, Lopez B, Mani M, Rodr‚Äö√Ñ√∂‚àö‚Ä†‚àö‚àÇ‚Äö√Ñ√∂‚àö¬¢‚Äö√Ñ‚Ä†guez-Lorenzo A.",2017,27501201,"Tools:clinical evaluation Outcomes: facial tonus, symmetry, wound closure, smile ALT flap",6.0,,,,,,,,",Other free flap type:free anterolateral thigh flap,",ALT flap,Masseteric nerve transfer,,,"['Anterolateral thigh flap flap', 'Alt flap']",Alt,Alt flap,
117,27684271,Pub-med,Facial reanimation using hypoglossal-facial nerve anastomosis after schwannoma removal,"Conclusion: In this series, the split type hypoglossal-facial nerve anastomosis resulted in more favorable outcomes in terms of both facial function and tongue atrophy. Objective: This study compared surgical techniques for hypoglossal-facial nerve anastomosis after schwannoma removal and evaluated which technique achieves better facial outcomes and less tongue morbidity. Method: This study included 14 patients who underwent hypoglossal-facial nerve anastomosis after schwannoma removal and were followed for more than 1 year. Three surgical techniques were performed: end-to-end, end-to-side, and split anastomoses. Facial palsy and tongue atrophy after anastomosis were evaluated using the scales suggested by House-Brackmann and Martins, respectively. Tumor volume and the time to surgery were also evaluated, and the effects on facial outcomes were analyzed. Results: Overall, nine of 14 (64.3%) patients had favorable facial outcomes, and eight of 14 (57.1%) had favorable tongue outcomes. Regarding facial palsy, five of seven (71.4%) end-to-end, three of four (75%) split, and only one of three (33.3%) end-to-side patients had favorable facial function. Regarding tongue atrophy, all three (100%) end-to-side, three of four (75%) split, and two of seven (28.6%) end-to-end patients had favorable tongue outcomes. The effects of tumor volume and time to surgery on facial outcome were not significant.",3,,0,0,2.0,9,2,1,0,10.1080/00016489.2016.1212398,Acta Otolaryngol. 2017 Jan;137(1):99-105. doi: 10.1080/00016489.2016.1212398. Epub 2016 Aug 12.,"Han JH, Suh MJ, Kim JW, Cho HS, Moon IS.",2017,27684271,,14.0,,,,,,,,Multiple nerve grafts:hypoglossal,,Hypoglossal nerve transfer,,,,,,
118,27988149,Pub-med,A technique for facial reanimation: The partial temporalis muscle-tendon transfer with a fascia lata sling,"Background: This report describes the results of a surgical procedure for facial reanimation. This single-stage technique involves the orthodromic transfer of only a superficial segment of the temporalis tendon. This is extended with fascia lata to achieve elevation of the oral commissure along the desired vector in the paralysed hemi-face. Methods: A retrospective case note review was performed. Patients' photographs were objectively evaluated with Facial Assessment by Computer Evaluation (FACE) software. Results: Thirty-nine patients underwent the procedure from 2001 to 2011. Median age at the operation was 57.0 years (interquartile range (IQR) 38.2-66.3 years), and median duration of follow-up was 0.9 years (IQR 0.5-1.8 years). All patients achieved early improvements in appearance and function after surgery. Three patients underwent further, minor procedures for aesthetic and functional adjustments around the oral commissure. Complications occurred in three patients: two minor facial haematomas and one thigh wound infection. The surgery did not disturb natural temporalis muscle function. FACE analysis demonstrated that no significant movement of the oral commissure occurred during attempted smiling in the paralysed hemi-face before surgery. However, symmetry was achieved when the healthy and paralysed hemi-faces were compared post-operatively, both in repose and during controlled smiling. Conclusions: This modified, single-stage technique for facial reanimation improves commissure mobilisation and has been objectively shown to restore symmetry of the commissure to the reanimated hemi-face.",0,,0,1,9.0,1,1,2,0,10.1016/j.bjps.2016.10.011,J Plast Reconstr Aesthet Surg. 2017 Mar;70(3):313-321. doi: 10.1016/j.bjps.2016.10.011. Epub 2016 Nov 10.,"Pidgeon TE, Boca R, Fatah F.",2017,27988149,,39.0,,,,,,,,,,no nerve transfer,,,,,,
