pmid,database,title,abstract,nerve_transfer,double_innervation_type,free_flap,other_tissue,negative_outcome,positive_outcome,measuring_tool,tool_category,botox,patients,time_to_reinnervation_(min),time_to_reinnervation_(max),Age,min age,max age,follow up min,follow up max,old_notes,Notes_y,notes,tool 1,tool 2,tool 3,nerve_transfer_type_1,nerve_transfer_type_2,nerve_transfer_type_3,other_free_flap_type_1,free_flap_type_1,free_flap_type_2,free_flap_type_3,,
15692342,Embase,Neurovascularized free short head of the biceps femoris muscle transfer for one-stage reanimation of facial paralysis,"The single-stage technique for cross-face reanimation of the paralyzed face without nerve graft is an improvement over the two-stage procedure because it results in early reinnervation of the transferred muscle and shortens the period of rehabilitation. On the basis of an anatomic investigation, the short head of the biceps femoris muscle with attached lateral intermuscular septum of the thigh was identified as a new candidate for microneurovascular free muscle transfer. The authors performed one-stage transfer of the short head of the biceps femoris muscle with a long motor nerve for reanimation of established facial paralysis in seven patients. The dominant nutrient vessels of the short head were the profunda perforators (second or third) in six patients and the direct branches from the popliteal vessels in one patient. The recipient vessels were the facial vessels in all cases. The length of the motor nerve of the short head ranged from 10 to 16 cm, and it was sutured directly to several zygomatic and buccal branches of the contralateral facial nerve in six patients. One patient required an interpositional nerve graft of 3 cm to reach the suitable facial nerve branches on the intact side. The period required for initial voluntary movement of the transferred muscles ranged from 4 to 10 months after the procedures. The period of postoperative follow-up ranged from 5 to 42 months. Transfer of the vascularized innervated short head of the biceps femoris muscle is thought to be an alternative for one-stage reconstruction of the paralyzed face because of the reliable vascular anatomy of the muscle and because it allows two teams to operate together without the need to reposition the patient. The nerve to the short head of the biceps femoris enters the side opposite the vascular pedicle of the muscle belly, and this unique relationship between the vascular pedicle and the motor nerve is anatomically suitable for one-stage reconstruction of the paralyzed face. As much as to 16 cm of the nerve can be harvested, and the nerve is long enough to reach the contralateral intact facial nerve in almost all cases. The lateral intermuscular septum, which is attached to the short head, provides ""anchor/suture-bearing"" tissue, allowing reliable fixations to the zygoma and the upper and lower lips to be achieved. In addition, the scar and deformity of the donor site are acceptable, and loss of this muscle does not result in donor-site dysfunction.",4,,2,3,0,9,8,3,0,7,4,10,,,,,,,,"pos: smile and symmetry
clinical eval and EMG",,,,Motor nerve,Undefined interposition nerve transfer,,"['Alt flap', 'Biceps femoris flap']",Alt,Biceps femoris flap,,,
15793421,Embase,A comparison of surgical techniques used in dynamic reanimation of the paralyzed face,"Objectives: To compare the outcomes of three surgical techniques used in the rehabilitation of the paralyzed face. Study Design: Retrospective study. Setting: University-based tertiary referral center. Patients: Between 1976 and 2000, rehabilitative facial nerve surgery was performed on 70 adult patients with varying underlying diseases. Intervention: Three methods of facial nerve rehabilitative surgery were performed: end-to-end anastomosis, cable nerve graft interposition, and classic faciohypoglossal transposition. Main Outcome Measures: The House-Brackmann grade was scored at 6, 12, 24, and 36 months by the two senior authors. A favorable outcome was defined as House-Brackmann Grade ‚â§ III. Other parameters recorded were repair technique, age, nerve rerouting, whether the repair was immediate or delayed, and the anatomic position of the nerve defect in relation to the geniculate ganglion. Results: Data were available on 66 patients (94%), of whom 13 had an end-to-end anastomosis, 25 a cable nerve graft interposition, and 28 a classic faciohypoglossal transposition. At 24 months, a House-Brackmann Grade ‚â§ III was achieved in 84.6% of those who underwent end-to-end anastomosis, 56.0% of those who underwent cable nerve graft interposition, and 25.0% of those who underwent classical faciohypoglossal transposition. End-to-end anastomosis and cable nerve graft interposition were superior to classic faciohypoglossal transposition (log-rank test, p = 0.0013). Twenty-five percent of all cases demonstrated improvement in House-Brackmann grade after 24 months. Increasing age at the time of repair was associated with a poorer outcome (p = 0.03 on logistic regression). Conclusion: End-to-end anastomosis confers the best facial function, followed by cable nerve graft interposition and then classic faciohypoglossal transposition. Contrary to some previous opinions, improvement in facial function can still occur 2 years after surgical repair, particularly with classic faciohypoglossal transposition. ¬© 2005, Otology & Neurotology, Inc.",4,,0,0,10,9,2,1,0,66,6,36,,,,,,"Multiple nerve grafts:hypoglossal,anastomosis","end-to-end anastomosis, cable nerve graft interposition, and classic faciohypoglossal transposition.",neg:failure/HB score not improved,,,,Undefined interposition nerve transfer,Faciohypoglossal nerve transfer,,,,,,,
16399108,Embase,Postoperative functional evaluation of different reanimation techniques for facial nerve repair,"Background: The facial nerve function after facial-facial nerve anastomosis, grafting, hypoglossal-facial nerve anastomosis, hypoglossal-facial interpositional jump nerve anastomosis, or a combined approach was analyzed. Methods: Facial function was assessed after operation using a 7-point visual analog scale (VAS) and by electromyography (EMG) in 53 patients. The final result was judged by May's facial nerve grading system. Results: Voluntary EMG activity occurred on average 4.52 ¬± 1.31 months after operation. Initial facial movements were visible after 5.41 ¬± 1.80 months. Facial function related to the VAS finally reached 44% of normal value. The result was judged May's grade I in 13%, grade II in 34%, grade III in 28%, and grade IV in 25% of patients. A significant difference in outcome between different reconstruction types was not seen. Age over 60 years was related to worse outcome. Conclusions: A correct selection of the best method in the individual situation presumed, all analyzed facial reanimation techniques seem to lead nearly similar and satisfactory results. ¬© 2006 Excerpta Medica Inc. All rights reserved.",4,,0,0,10,9,8,3,0,53,4,7,,,,,,"Multiple nerve grafts:hypoglossal,anastomosis",,,,,,Undefined interposition nerve transfer,Hypoglossal-facial nerve transfer,,,,,,,
16794958,Pub-med,[Results of 13 hypoglosso-facial anastomoses],"Background and purpose: Facial nerve paralysis significantly decreases the quality of life in patients after skull base tumors surgery. There are different options for surgical repair of the nerve. One of the most effective methods is the anastomosis of the distal trunk of the facial nerve with the proximal trunk of the hypoglossal nerve or with hypoglossal loop. Material and methods: Thirteen hypoglosso-facial anastomoses had been performed in our department between 1999 and 2003. In all patients the facial nerve paralysis was due to the surgery in its proximity. In one case the patient suffered from petroclival chordoma, in one case ameloblastoma, one was with petroclival meningioma and the rest of cases were after vestibular schwannoma. The follow-up period lasted from 6 months to three years. The final result was expressed in House-Brackmann scale (HB) describing facial muscle strength. Results: In two cases there was no improvement (HB 6), in two cases barely perceptible motion (HB 5), in five obvious weekness with disfiguring assymetry (HB 4) and in four obvious but not disfiguring dysfunction (HB 3). There was only one postoperative complication haematoma at the place of anastomosis requiring evacuation. Conclusion: Hypoglosso-facial anastomosis remains one of the most important techniques of the reanimation of the paralysed face. Its efficacy is limited, but it is a relatively safe procedure.",3,,0,0,9,9,2,1,0,13,6,36,,,,,,Multiple nerve grafts:hypoglossal,repeat,"repeat/Tools: HB scores Outcomes: facial muscle strenght,complications(hematoma)",,,,Hypoglossal nerve transfer,,,,,,,,
17471111,Pub-med,Intratemporal facial nerve transfer with direct coaptation to the hypoglossal nerve,"Objective: To evaluate functional recovery after facial-hypoglossal nerve transfer with direct coaptation of the intratemporal part of the facial nerve. Study design: Retrospective study. Setting: University-based tertiary referral center. Patients: Nine patients who underwent facial-hypoglossal transfer surgery between 2001 and 2006 to treat a unilateral complete facial nerve palsy. Intervention: The facial nerve is mobilized in the temporal bone, transsected at the second genu, transferred and directly coaptated to a partially incised hypoglossal nerve. Main outcome measures: The House-Brackmann grading system was used to evaluate facial nerve reinnervation. Tongue atrophy and movements were documented. Quality of life related to facial function was assessed using the validated Facial Disability Index. Results: A House-Brackmann Grade III (86%) was achieved in six patients, and Grade IV (14%) in one patient with an average follow-up of 22 months (range, 12-48 mo). Two patients had a follow-up of less than 12 months after surgery, and reinnervation was still in progress. In none of the patients who were operated on was tongue atrophy or impaired movement observed. Postoperative Facial Disability Index scores (mean, 71.8 +/- standard deviation [SD] 10.6) for physical functioning and social functioning (mean, 85.7 +/- SD 9.8) were increased for all patients when compared with preoperative scores (mean, 28.6 +/- SD 9.0; mean, 37.7 +/- SD 14.4, respectively). Conclusion: The facial-hypoglossal nerve transfer with direct coaptation of the intratemporal part of the facial nerve offers good functional results with low lingual morbidity and improved quality of life. The technique is straightforward, relatively simple, and should be considered as first option for reanimation of traumatic facial nerve lesions.",3,,0,0,0,2,2,1,0,9,12,48,,,,,,,,"Tools: HB scores, Postoperative Facial Disability Index scores Outcomes: first contraction, facial movements, comparisson between preop and postop scores",,,,Hypoglossal nerve transfer,,,,,,,,
17589268,Embase,Nerve sources for facial reanimation with muscle transplant in patients with unilateral facial palsy: Clinical analysis of 3 techniques,"Ninety-one patients with long-standing unilateral facial palsy and submitted to reanimation of the face with muscle transplant were divided into 3 nonrandomized groups: group I: 2-stage facial reanimation, cross face followed by gracilis muscle transplant, 58 patients; group II: 1-stage reanimation with latissimus dorsi muscle transplant, 11 patients (a branch of the facial nerve on the nonparalyzed side of the face was used as the nerve source for reanimation in groups I and II); group III: 1-stage reanimation with gracilis muscle transplant and neural coaptation of the respective nerve and the ipsilateral masseteric branch of the trigeminal nerve, 22 patients. No microvascular complications were observed. The average interval between surgery and initial muscle contractions was 11.1 months, 7.2 months, and 3.7 months in group I, group II, and group III, respectively. The quality (intensity and shape) of the smile, voluntary or involuntary, obtained on the reanimated side in relation to the unaffected side was considered good or excellent in 53.4%, 54.5%, and 86.3% of the patients in groups I, II, and III, respectively. In group I, the average age of the patients with excellent or good results (19.8 + 10.5 years) was significantly lower than that of the patients with fair or poor results or absence of movement (36.5 + 13.3 years). The smile was considered emotional or involuntary in 34% of the patients in group I and 45% in group II. Most of the patients in each group were only able to produce ""voluntary smiles"". Crossed synkinesis with lip puckering was observed in 48% of the patients in group I and 90% in group II. The results obtained with 1-stage facial reanimation with masseteric nerve were more uniform and predictable than those obtained with the other techniques evaluated in this study. ¬© 2007 Lippincott Williams & Wilkins, Inc.",2,,0,0,9,9,4,1,0,91,4,11,,,,,,,,"hematoma and salivary fistula
smile and muscle contraction",,,,Masseteric nerve transfer,,,,,,,,
19010754,Pub-med,Dual innervation method using one-stage reconstruction with free latissimus dorsi muscle transfer for re-animation of established facial paralysis: simultaneous reinnervation of the ipsilateral masseter motor nerve and the contralateral facial nerve to improve the quality of smile and emotional facial expressions,"Background: One-stage microneurovascular free muscle transfer is a common surgical procedure for re-animation of established facial paralysis. However, innervation of the transferred muscle by the contralateral facial nerve prevents smile and other facial expressions on one side, and reinnervation requires about 7 months. To overcome these drawbacks, we report a dual innervation method using one-stage reconstruction with free latissimus dorsi muscle transfer. Methods: Three patients were treated with the dual innervation method, which is based on the one-stage method with some modifications: the soft tissue present over the ipsilateral masseter muscle and the hilum where the thoracodorsal nerve proceeds into the muscle segment is removed; the muscle is harvested to locate the hilum in the cranial one-third of the segment; and the muscle is transferred to the malar pocket of the paralysed face such that the hilum contacts the masseter muscle. Results: On average, muscle movement was recognised on voluntary biting at 3.4 months and on spontaneous smiling at 5.9 months after surgery. A dual innervation sign was recorded on electromyographs 6.4 months after surgery. The patients developed a spontaneous symmetrical smile and facial expressions on one side with minimum synkinesis after postoperative mirror rehabilitation. Conclusions: The advantages of the dual innervation method include faster reinnervation of the transferred muscle compared to one-stage options; achievement of spontaneous smile and voluntary smile on each side; augmentation of neural signals to the muscle for more symmetrical smiling; minimum synkinesis of the transferred muscle on biting for eyelid closure and emotional facial re-animation through a learning program to enhance cerebral cortical reorganisation.",6,Masseteric + CFNG,2,1,1,9,8,3,0,3,3,6,,,,,,,,,,,,Double innervation,,,['Latissimus dorsi flap'],Latissimus dorsi flap,,,,
19701878,Pub-med,The phrenic nerve as a motor nerve donor for facial reanimation with the free latissimus dorsi muscle,"Free functional muscle transfer for acquired facial paralysis most often involves two stages. In this report, we describe single-stage free muscle transfer using the phrenic nerve as the donor motor nerve. Six patients with unilateral facial paralysis underwent single-stage facial reanimation using a free latissimus dorsi muscle with the ipsilateral phrenic nerve as the donor nerve. These cases were retrospectively studied to review technique and to determine outcomes including time to muscle reinnervation, patient satisfaction, smile symmetry, and complications. The mean age was 33 years. Five patients had complete unilateral facial paralysis and one had incomplete. There was no flap loss. The transferred muscle demonstrated active contraction in all patients at a mean of 14 weeks postoperatively (range, 12 to 16 weeks). Good dynamic symmetry was achieved by 6 to 9 months in all patients. All patients underwent rehabilitation including nerve reeducation. No clinically significant pulmonary morbidity was observed after the unilateral transection of the phrenic nerve. Using the phrenic nerve in free muscle transfer for facial paralysis allows a single-stage procedure with no requirement for nerve grafting and a rapid reinnervation time, shortening the time required for restoring facial animation.",4,,2,1,10,9,4,1,0,6,6,9,,,,,,"Multiple nerve grafts:nerve graft,nerve grafting",,"NO: bulk in cheek, pt dissatisfaction",,,,Motor nerve,Phrenic nerve transfer,,['Latissimus dorsi flap'],Latissimus dorsi flap,,,,
19801918,Pub-med,Facial reanimation with masseteric nerve: babysitter or permanent procedure? Preliminary results,"The authors are presenting a series of 10 cases of complete unilateral facial paralysis submitted to (I) end-to-end microsurgical coaptation of the masseteric branch of the trigeminal nerve and distal branches of the paralyzed facial nerve, and (II) cross-face sural nerve graft. The ages of the patients ranged from 5 to 63 years (mean: 44.1 years), and 8 (80%) of the patients were females. The duration of paralysis was no longer than 18 months (mean: 9.7 months). Follow-up varied from 6 to 18 months (mean: 12.6 months). Initial voluntary facial movements were observed between 3 and 6 months postoperatively (mean: 4.3 months). All patients were able to produce the appearance of a smile when asked to clench their teeth. Comparing the definition of the nasolabial fold and the degree of movement of the modiolus on both sides of the face, the voluntary smile was considered symmetrical in 8 cases. Recovery of the capacity to blink spontaneously was not observed. However, 8 patients were able to reduce or suspend the application of artificial tears. The authors suggest consideration of masseteric-facial nerve coaptation, whether temporary (baby-sitter) or permanent, as the principal alternative for reconstruction of facial paralysis due to irreversible nerve lesion with less than 18 months of duration.",4,,0,0,6,9,4,1,0,10,3,6,,,,,,"Multiple nerve grafts:cross-face,Sural nerve graft",,"Tools:Clinical evaluation Outcomes: facial movements, smile, inability to blink, complication (hematoma), comparing nasolabial fold and the degree of the modiolus, symmetry,",,,,Cross-facial nerve transfer,Sural nerve transfer,,,,,,,
20595862,Pub-med,"Intraoperative muscle electrical stimulation for accurate positioning of the temporalis muscle tendon during dynamic, one-stage lengthening temporalis myoplasty for facial and lip reanimation","Background: Facial paralysis is a significant functional and aesthetic handicap. Facial reanimation is performed either by two-stage microsurgical methods or by regional one-stage muscle pedicle flaps. Labb‚Äö√†√∂¬¨¬© has modified and improved the regional muscle pedicle transfer flaps for facial reanimation (i.e., the lengthening temporalis myoplasty procedure). This true myoplasty technique is capable of producing a coordinated, spontaneous, and symmetrical smile. An intraoperative electrical stimulation of the temporal muscle is proposed to simulate the smile of the paralyzed side on the surgical table. Methods: The intraoperative electrical stimulation of the temporalis muscle, employing direct percutaneous electrode needles or transcutaneous electrical stimulation electrodes, was utilized in 11 primary and four secondary cases with complete facial palsy. The duration of the facial paralysis was up to 12 years. Postoperative follow-up ranged from 3 to 12 months. Results: The insertion points of the temporalis muscle tendon to the nasolabial fold, upper lip, and oral commissure had been changed according to the intraoperative muscle stimulation in six patients of the 11 primary cases (55 percent) and in all four secondary (revisional) cases. A coordinated, spontaneous, and symmetrical smile was achieved in all patients by 3 months after surgery by employing speech therapy and biofeedback. Conclusion: This adjunct intraoperative refinement provides crucial feedback for the surgeon in both primary and secondary facial palsy cases regarding the vector of action of the temporalis muscle and the accuracy of the anchoring points of its tendon, thus enhancing a more coordinated and symmetrical smile.",0,,0,1,0,9,4,1,0,11,3,12,,,,,,,,,,,,no nerve transfer,,,,,,,,
20651635,Embase,Outcomes of microneurovascular facial reanimation using masseteric innervation in patients with long-standing facial palsy resulting from cured brainstem lesions,"Background: The functions of the human face are not only of esthetic significance but also extend into metaphoric nuances of psychology. The loss of function of one or both facial nerves has a remarkable impact on patients' lives. Objective: To retrospectively analyze the functional outcomes of microneurovascular facial reanimation using masseteric innervation. Methods: Seventeen patients with irreparable facial paralysis resulting from benign lesions involving the facial nuclei (n = 14) or M√∂bius syndrome (n = 3) were treated with free muscle flaps for oral commissural reanimation using ipsilateral masseteric innervation and using temporalis muscle transfer for eyelid reanimation. Results were analyzed by the absolute commissural excursion and commissural excursion index and by a patient self-evaluation score. Presence of synkinesis was documented. Follow-up ranged from 8 to 48 months (mean, 26.4 months). Results: Normalization of the commissural excursion index was observed in 8 of 17 patients (47%), an improvement was seen in 7 of 17 (41%), and failure was observed in 2 of 17 (12%). The individual dynamics of absolute commissural excursion and commissural excursion index changes are presented. A natural smiling response was observed in 10 of 17 patients (59%) but not in the remaining 7 (41%). This response reflected the patient's ability to relay the natural emotion of smiling through the masseteric nerve. Patients' self-evaluation scores were a level higher than objective indices. CONCLUSIONS: Innervation of free muscle flaps with the masseteric nerve for oral commissure reanimation might play an important role in patients with lesions of the facial nuclei (as in M√∂bius syndrome). Synkinesis persists for long periods after surgery. However, most of the patients learned to express their emotions by overcoming this phenomenon. Despite hypercorrection or inadequate correction, patients evaluated themselves favorably. ¬© 2010 by the Congress of Neurological Surgeons.",2,,2,1,9,9,8,3,0,17,8,48,,,,,,,,"neg: abscess, failed muscle innervation, excess bleeding
pos: smile and commisure",,,,Masseteric nerve transfer,,,gracilis,Serratus anterior,,,,
21463951,Embase,Masseteric-facial nerve anastomosis for early facial reanimation,"Objective: Early repair of facial nerve paralysis when cortical neural input cannot be provided by the facial nerve nucleus, is generally accomplished anastomozing the extracranial stump of the facial nerve to a motor donor nerve. That is generally the hypoglossus, which carries a variable degree of morbidity. The present work aims to demonstrate the effectiveness of the masseteric nerve as donor for early facial reanimation, with the advantage that harvesting is associated with negligible morbidity. Methods: Between October 2007 and August 2009, 7 patients (2 males, 5 women) with unilateral facial paralysis underwent a masseter-facial nerves anastomosis with an interpositional nerve graft of the great auricular nerve. The interval between the onset of paralysis and surgery ranged from 8 to 48 months (mean 19.2 months). All patients included in the study had signs of facial mimetic muscle fibrillations on electromyography. The degree of preoperative facial nerve dysfunction was grade VI following the House-Brackmann scale for all patients. Results: At the time of the study, all the patients with a minimum follow-up time of 12 months after the onset of mimetic function had recovered facial animation. Facial muscles showed signs of recovery within 2-9 months, mean 4.8 months, with the restoration of facial symmetry at rest. Facial movements appeared while the patients activated their chewing musculature. Morbidity related to this intervention is only the loss of sensitivity of earlobe and preauricular region. Conclusion: The present technique seems to be a valid alternative to classical hypoglossal-facial nerve anastomosis because of similar facial nerve recovery and lower morbidity. ¬© 2011 European Association for Cranio-Maxillo-Facial Surgery.",2,,0,3,9,9,8,3,0,7,2,9,,,,,,"Multiple nerve grafts:masseteric nerve,hypoglossal,Great auricular nerve",,"neg: loss of sensitivity of earlobe and preauricular region, synkinesis
tools: clinical, scleral show measurement",,,,Masseteric nerve transfer,,,,,,,,
21532419,Pub-med,Facial reanimation using the masseter-to-facial nerve transfer,"Background: This article describes facial reanimation using the transfer of the trigeminal motor nerve branch of the masseter muscle (masseter nerve) to the facial nerve (masseter-to-facial nerve transfer). Methods: A retrospective review was performed of 10 consecutive facial paralysis patients treated with a masseter-to-facial nerve transfer for reanimation of the miDFace and perioral region over a 7-year period. Patients were evaluated with physical examination, direct measurement of commissure excursion, and video analysis. Results: All patients regained oral competence, good resting tone, and a smile, with a vector and strength comparable to those of the normal side. Motion developed an average of 5.6 months after masseter-to-facial nerve transfer, with 40 percent of patients developing an effortless smile by postoperative month 19. Conclusions: The masseter-to-facial nerve transfer is an effective method for reanimation of the miDFace and perioral region in a select group of facial paralysis patients. The technique is advocated for its limited donor-site morbidity, avoidance of interposition nerve grafts, and potential for cerebral adaptation, producing a strong, potentially effortless smile.",2,,0,0,0,9,8,3,0,10,6,20,,,,,,"Multiple nerve grafts:masseter nerve,Interposition nerve graft",,"tools: physical examination, direct measurement of commissure excursion, and video analysis",,,,Masseteric nerve transfer,,,,,,,,
22020891,Pub-med,Reconstruction of complex peripheral facial nerve defects by a combined approach using facial nerve interpositional graft and hypoglossal-facial jump nerve suture,"Objectives/hypothesis: To describe a modified facial nerve reconstruction technique for complex defects of the facial fan after parotid surgery that avoids synkinesis between upper and lower face. Study design: Retrospective case series. Methods: Patients who had undergone radical parotidectomy with a large defect of the facial fan, reconstruction of the upper face by facial nerve interpositional graft, and reconstruction of the lower face by hypoglossal-facial nerve jump nerve suture were included in this series. Results: Four patients underwent the modified combined approach after tumor resection and prior to postoperative radiotherapy in three of the four cases. Surgery was combined with an upper lid weight implantation. Regeneration of the face was successful in all cases within 12 to 16 months. Most important, the separated reanimation of the upper and lower face circumvented synkinesis of the upper and lower face. This factor was essential for good functional results. Using the hypoglossal jump technique instead of a classical cross-nerve suture technique prevented the sacrifice of ipsilateral tongue function. Conclusions: The presented method offers satisfactory results for facial reanimation and avoids synkinesis between the upper and lower face. Using the jump technique instead of a classic hypoglossal transfer as it was described originally for the combined approach avoids long-term sequelae for the tongue.",3,,0,2,0,9,8,3,0,4,12,16,,,,,,,,,,,,Hypoglossal nerve transfer,,,,,,,,
22127940,Pub-med,Hemihypoglossal-facial nerve anastomosis for facial nerve palsy,"Background and purpose: Commonly used classic hypoglossal (CN XII) to facial nerve (CN VII) anastomosis has the disadvantage of tongue hemiatrophy. Thus, various attempts have been made to modify this method to reduce the tongue damage. The aim of this report was to present the results of hemihypoglossal-facial nerve anastomosis (HHFA) technique in relation to facial muscles reanimation and hemitongue atrophy. Material and methods: The first 7 consecutive patients who underwent CN VII anastomosis with half of the CNXII, for which the follow-up period exceeded 12 months, were analysed. During the procedure, CN VII was transected as proximally as possible after drilling the mastoid process. CN XII was separated longitudinally into two parts at a short distance to allow suture of the stumps without any tension. One half of CN XII was transected and sutured to the distal stump of CN VII. Recovery from facial palsy was quantified with the House-Brackmann grading system (HB). Tongue function was assessed according to the scale proposed by Martins. Results: Features of initial reinnervation of facial muscles were visible after 6 months in all 7 patients. All patients achieved satisfactory outcome of CN VII regeneration (HB grade III) until the last control examination (12-27 months after surgery, mean 16). No or minimal tongue atrophy without deviation (grades I-II according to the Martins scale) was found in 4 patients. Mild hemiatrophy with tongue deviation < 30 degrees (grade III) was visible in 3 patients. Conclusions: In our experience, HHFA is effective treatment of facial palsy and gives a chance to reduce damage of the tongue.",3,,0,0,0,7,2,1,0,7,6,27,,,,,,"Multiple nerve grafts:hypoglossal,anastomosis",,"Tools: HB score, Scale proposed by Martins Outcomes: tongue function",,,,Hypoglossal nerve transfer,,,,,,,,
22728067,Embase,Double innervation in free-flap surgery for long-standing facial paralysis,"Objective: One-stage free-flap facial reanimation may be accomplished by using a gracilis transfer innervated by the masseteric nerve, but this technique does not restore the patient's ability to smile spontaneously. By contrast, the transfer of the latissimus dorsi innervated by the contralateral facial nerve provides the correct nerve stimulus but is limited by variation in the quantity of contraction. The authors propose a new one-stage facial reanimation technique using dual innervation; a gracilis muscle flap is innervated by the masseteric nerve, and supplementary nerve input is provided by a cross-face sural nerve graft anastomosed to the contralateral facial nerve branch. Methods: Between October 2009 and March 2010, four patients affected by long-standing unilateral facial paralysis received gracilis muscle transfers innervated by both the masseteric nerve and the contralateral facial nerve. Results: All patients recovered voluntary and spontaneous smiling abilities. The recovery time to voluntary flap contraction was 3.8 months, and spontaneous flap contraction was achieved within 7.2 months after surgery. According to Terzis and Noah's five-stage classification of reanimation outcomes, two patients had excellent outcomes and two had good outcomes. Conclusions: In this preliminary study, the devised double-innervation technique allows to achieve a good grade of flap contraction as well as emotional smiling ability. A wider number of operated patients are needed to confirm those initial findings. ¬© 2012 Published by Elsevier Ltd on behalf of British Association of Plastic, Reconstructive and Aesthetic Surgeons. All rights reserved.",6,Masseteric + CFNG,1,0,0,2,8,3,0,4,4,7,,,,,,"Multiple nerve grafts:cross-face,masseteric nerve,Sural nerve graft",,,,,,Double innervation,,,,,,,,
22960057,Pub-med,Fifteen-year survey of one-stage latissimus dorsi muscle transfer for treatment of longstanding facial paralysis,"Background: Neurovascular free muscle transfer is one of the main reconstructive options for established or long-standing facial paralysis. The two-stage gracilis muscle transfer combined with the cross-face nerve graft (two-stage method) has been supplanted by one-stage reconstruction using the latissimus dorsi muscle (LD) at our institution. This study retrospectively evaluated the results of one-stage LD transfer. Methods: Between September 1993 and December 2008, 344 patients (133 males, 211 females; age range, 5-75 years) with unilateral facial paralysis underwent 351 one-stage LD transfers. Patients were evaluated with a custom grading scale. Differences in grading scale score were compared according to age, past surgical history and the duration from operation to neuromuscular recovery. Results: Contraction of the transferred muscle was recognised in 305 (87.0%) transfers. The duration until neuromuscular recovery ranged from 3 to 16 months (average ¬¨¬®¬¨¬± standard deviation: 6.48 ¬¨¬®¬¨¬± 1.92 months). The grading scale was significantly lower in middle-age group than in younger and elder groups (P < 0.01). Duration until neuromuscular recovery was significantly different when comparing the younger group and the oldest group. There was no difference in grading scale score or in duration until neuromuscular recovery when comparing the patients with a past surgical history and those without. The grading scale negatively correlated with the duration until neuromuscular recovery. Conclusions: The results are consistent and statistical analysis revealed the versatility of the one-stage LD transfer. Although we believe the two-stage method is still a good option for facial reanimation, the one-stage method is advantageous regarding the shorter period of recovery and little donor-site morbidity.",0,,2,0,0,7,2,1,0,344,3,16,,,,,,,,"Tools: grading scale Outcomes: contraction, duration until neauromuscular recovery",,,,no nerve transfer,,,"['Alt flap', 'Latissimus dorsi flap']",Alt,Latissimus dorsi flap,,,
23096620,Pub-med,Comparison of hemihypoglossal nerve versus masseteric nerve transpositions in the rehabilitation of short-term facial paralysis using the Facial Clima evaluating system,"Background: Masseteric and hypoglossal nerve transfers are reliable alternatives for reanimating short-term facial paralysis. To date, few studies exist in the literature comparing these techniques. This work presents a quantitative comparison of masseter-facial transposition versus hemihypoglossal facial transposition with a nerve graft using the Facial Clima system. Methods: Forty-six patients with complete unilateral facial paralysis underwent reanimation with either hemihypoglossal transposition with a nerve graft (group I, n = 25) or direct masseteric-facial coaptation (group II, n = 21). Commissural displacement and commissural contraction velocity were measured using the Facial Clima system. Postoperative intragroup commissural displacement and commissural contraction velocity means of the reanimated versus the normal side were first compared using a paired sample t test. Then, mean percentages of recovery of both parameters were compared between the groups using an independent sample t test. Onset of movement was also compared between the groups. Results: Significant differences of mean commissural displacement and commissural contraction velocity between the reanimated side and the normal side were observed in group I but not in group II. Mean percentage of recovery of both parameters did not differ between the groups. Patients in group II showed a significantly faster onset of movement compared with those in group I (62 ¬¨¬®¬¨¬± 4.6 days versus 136 ¬¨¬®¬¨¬± 7.4 days, p = 0.013). Conclusions: Reanimation of short-term facial paralysis can be satisfactorily addressed by means of either hemihypoglossal transposition with a nerve graft or direct masseteric-facial coaptation. However, with the latter, better symmetry and a faster onset of movement are observed. In addition, masseteric nerve transfer avoids morbidity from nerve graft harvesting. Clinical question/level of evidence: Therapeutic, III.",2,,0,0,2,3,2,2,0,46,2,5,,,,,,"Multiple nerve grafts:masseteric nerve,hypoglossal",,commisural displacement and commisural velocity of the recosntructed side vs normal showedno significant differences 2 years post op,,,,Masseteric nerve transfer,,,,,,,,
