database,title,abstract,nerve_transfer,double_innervation_type,free_flap,other_tissue,negative_outcome,positive_outcome,measuring_tool,tool_category,botox,doi,citation,authours,year,pmid,notes,patients,time_to_reinnervation_(min),time_to_reinnervation_(max),old_notes,Notes_y,nerve_transfer_type_1,nerve_transfer_type_2,nerve_transfer_type_3,other_free_flap_type_1,free_flap_type_1,free_flap_type_2,free_flap_type_3
Pub-med,Comparison of Lengthening Temporalis Myoplasty and Free-Gracilis Muscle Transfer for Facial Reanimation in Children,"Background: Lengthening temporalis myoplasty (LTM) and cross-face nerve graft with free gracilis muscle transfer (CFNG-FGMT) are the 2 most common procedures used to restore dynamic facial animation and improve facial symmetry. There has not been direct comparison or consensus. Here, the authors compare our experience with respect to muscle activity, symmetry, and excursion. Methods: A retrospective review was performed of patients with facial palsy who had CFNG-FGMT or LTM from 2008 to 2016 at a single institution. Postoperative surface EMG was recorded at maximum open smile. Normal and paralyzed sides of the face were analyzed with Facial Assessment by Computer Evaluation software. Commissure excursion and symmetry was assessed. Results: Six patients with LTM and 10 with CFNG-FGMT met inclusion criteria. Muscle activity was 1st identified in LTM patients after 3 months (47.42 mV, P < 0.001) and CFNG-FGMT patients after 3 months (28.30 mV, P < 0.001) compared to immediate postoperative period. Relative to preoperative excursion, there was significant increase of 3.33 mm in commissure excursion seen at the 0 to 3 month period for LTM patients (P = 0.04). Commisure excursion for CFNG-FGMT was seen later, in the 3- to 6-month postoperative period (4.01, P = 0.024). During smile, CFNG-FGMT patients had better symmetry than unilateral LTM patients. In bilateral LTM patients, there was no significant change in symmetry. Conclusion: Dynamic facial animation improved in both surgical groups. The LTM demonstrates a faster rate of muscle recruitment compared to CFNG-FGMT. After 3 months, both LTM and CFNG-FGMT groups had comparable excursions. A decision-making algorithm is presented.",0,,1,0,0,9,8,3,0,10.1097/SCS.0000000000005885,J Craniofac Surg. 2020 Jan/Feb;31(1):85-90. doi: 10.1097/SCS.0000000000005885.,"Nguyen PD, Faschan KS, Mazzaferro DM, Konieczny T, Jackson OA, Bartlett SP.",2020,31609948,"Tools: FACE, EMG Outcomes: muscle activity, commissure excursion, ",6,3,6,,,no nerve transfer,,,,,,
Pub-med,A modified temporalis transfer technique for facial paralysis in elderly patients,"Introduction: In patients with chronic facial palsy where the treatment by conservative means or only nerve grafting is no longer an option, reconstruction by dynamic procedures such as pedicled and/or free muscle transfer is required. Patients and methods: Five patients with chronic facial palsy were treaded by temporalis muscle transfer to the eye and mouth simultaneously. In four of them, the combined Gillies-McLaughlin technique was used, but for the fifth one, a modified technique was applied. Results: In all patients, immediate and late postoperative clinical outcomes were satisfactory and improved their everyday quality of life. Discussion: Depending on the duration of the disease, there are different techniques that can be used. For the chronic facial palsy in elderly patients, the muscle transfer has better results, and a self-developed algorithm give us the opportunity to choose the best possible treatment for each one of our patients. The modified technique was found to be better with less surgical time, and recovery period for the patients. Conclusion: All the patients were satisfied with the results. For the fifth patient that the modified technique applied, the healing process was faster, and the aesthetic and functional reanimation achieved easiest, with no donor-site morbidity, comparatively with the rest patients where the standard Gillies-McLaughlin technique was used.",0,,0,1,0,4,2,1,0,10.1016/j.injury.2020.02.107,Injury. 2020 Dec;51 Suppl 4:S88-S92. doi: 10.1016/j.injury.2020.02.107. Epub 2020 Feb 21.,"Papadopulos N‚Äö√¢√†‚àö‚â†‚Äö√†√∂¬¨¬•, Markou MA.",2020,32113740,"Tools: Hb score Outcomes: quality of liife, symmetry, movement, oral continence",5,,,"Multiple nerve grafts:nerve graft,nerve grafting",,no nerve transfer,,,,,,
Pub-med,Results of End-To-Side Hypoglossal-Facial Nerve Anastomosis in Facial Paralysis after Skull Base Surgery,"Introduction: The primary aim of facial reanimation surgery is to restore tone, symmetry, and movement to the paralyzed face. Hypoglossal-facial end-to-side anastomosis provides satisfactory facial reanimation in the irreversible proximal injury of the facial nerve. This study discussed the facial function results of end-to-side anastomosing of hypoglossal nerve to facial nerve when the injury occurred during skull base surgery. Materials and methods: The present study enrolled a total of 10 patients who underwent end-to-side hypoglossal-facial nerve anastomosis after facial nerve paralysis due to skull base surgery. The data of the patients were gathered from hospital records, pictures, and movies during the 18 months of follow-up. Results: At the 18 months of follow-up, seven (70%) and three (30%) patients were reported with grades III and IV of the House-Brackmann scoring system, respectively. In total, out of the seven grade III patients, six subjects underwent early anastomosis (within the first year of the paralysis). On the other hand, among patients with grade IV, two subjects had late anastomosis. Conclusion: It seems that early end-to-side hypoglossal-facial anastomosis can be a favorable surgical option with good facial function results for reanimating the facial function of patients with facial paralysis following skull base surgery.",3,,0,0,0,0,2,1,0,10.22038/ijorl.2019.36294.2194,Iran J Otorhinolaryngol. 2020 May;32(110):133-138. doi: 10.22038/ijorl.2019.36294.2194.,"Dabiri S, Khorsandi Ashtiani M, Moharreri M, Mahvi Khomami Z, Kouhi A, Yazdani N, Borghei P, Aghazadeh K.",2020,32596171,Tools: HB scores Outcomes: end-to-side hypoglossal-facial anastomosis,7,,,Multiple nerve grafts:hypoglossal,end-to-side hypoglossal-facial anastomosis,Hypoglossal nerve transfer,,,,,,
Pub-med,M-Mode Echomyography of Facial Muscle Function Following Facial Reanimation with Temporalis Muscle Galea Pedicled Flap: Analysis of Ten Cases with Review of Literature,"Introduction: Facial palsy is a condition where the patients lack voluntary movement on the affected side of the face and are not able to convey their emotions. Besides that, they also succumb themselves to social isolation. Various techniques have been devised to overcome this devastating problem. The aim of this article is to evaluate and compare facial muscle function before and after facial reanimation with temporalis muscle galea pedicled flap by motion mode echomyography in patients with long-standing facial paralysis. Patients and methods: Ten patients with long-standing facial paralysis were included in the study (six patients with LMN palsy and four patients with facial weakness involving specific peripheral branches), and they subsequently underwent facial reanimation surgery with temporalis galea pedicled flap. These patients were followed postoperatively for a period of 1-2 years and were subjectively graded as excellent, good, fair and poor and objectively evaluated by M-mode echomyography, and the results were evaluated and statistically analyzed. Results: Subjectively, out of 6 patients with LMN palsy, results were graded as excellent in 2 cases, good in 3 cases, fair in 1 case, and out of 4 patients with weakness in specific facial nerve branches, the subjective results were excellent in 2 cases, good in 1 case and fair in 1 case. Objectively, the effect of transposed temporalis galea on orbicularis occuli, levator labii superioris and orbicularis oris was found to be statistically significant in patients with LMN palsy. Conclusion: Our study proves the versatility of temporalis muscle galea pedicled flap in cases of long-standing facial paralysis by motion mode echomyography.",0,,0,1,,0,0,2,0,10.1007/s12663-019-01292-z,J Maxillofac Oral Surg. 2020 Dec;19(4):571-578. doi: 10.1007/s12663-019-01292-z. Epub 2019 Sep 28.,"Chandrasekaran B, Rekha M, Neelakandan RS, Gandra PK.",2020,33071505,"Tools:MOTION MODE echomyography Outcomes: eye closure, smile , muscle weekness, temporalis muscle galea pedicled flap",6,,,,,no nerve transfer,,,,,,
Pub-med,Suprazygomatic Aponeurotic McLaughlin Myoplasty for Facial Reanimation,"Background: Suprazygomatic aponeurotic McLaughlin (SAM) myoplasty technique for facial reanimation is based on the classical McLauglin's lengthening temporalis myoplasty with a series of new modifications. A comprehensive review of previously described other orthodromic temporalis myoplasty techniques is also included to give a succinct comparison. Methods: Twelve adult patients of facial palsy underwent SAM myoplasty for a period of 4 years. Three had congenital facial palsy, 4 patients had facial palsy secondary to acoustic neuromas, 3 were posttraumatic, and 2 patients had Bell's palsy. Results: Range of modiolus excursion achieved as measured at 3 months postoperatively on reanimation in our patients was 5 mm to 20 mm with an average of 12.6 mm. With SAM myoplasty technique, we were able to achieve excellent result in 4 patients and good results in 8 patients as evaluated with May and Druker scoring system. Conclusions: Suprazygomatic aponeurotic McLaughlin myoplasty for facial reanimation demonstrates a successful modification of the classical McLaughlin lengthening temporalis myoplasty, making it more customizable, simple, and predictable by taking the level of transection to the temporalis aponeurosis without the need for zygomatic osteotomy. A new classification of orthodromic temporalis myoplasty based on level of transections is also proposed for the first time. Good to excellent outcomes coupled with high patient satisfaction and low morbidity should make this technique popular among the facial reanimation surgeons.",0,,0,3,0,9,2,1,0,10.1097/SAP.0000000000002266,Ann Plast Surg. 2020 Aug;85(2):149-157. doi: 10.1097/SAP.0000000000002266.,"Choudhary S, Khanna S, Mantri R, Arora P.",2020,32049759,"Tools: May and Druker scoring system Outcomes: modiolus excursion, nasolabial skin excision free gracilis muscle flap",12,,,,,no nerve transfer,,,,,,
Pub-med,"Association of Socioeconomic, Personality, and Mental Health Factors With Health-Related Quality of Life in Patients With Facial Palsy","Importance: Knowledge of factors associated with health-related quality of life in patients with facial palsy may aid in better interpreting outcomes of research and treatment. Objective: To identify factors associated with health-related quality of life in patients with facial palsy. Design, setting, and participants: The inclusion period for participants in this cross-sectional study at the University Medical Center Groningen, a tertiary referral center for facial reanimation surgery, was March 1 to June 1, 2019. Patients aged at least 18 years with facial palsy who had undergone surgery for facial palsy between January 1, 2007, and January 1, 2018, and patients visiting the outpatient clinic of the University of Groningen Department of Plastic Surgery for their facial palsy between March 1 and June 1, 2019, were also asked to participate. Of 276 patients invited, 145 gave informed consent. Twenty patients did not respond after consent, 3 patients withdrew from the study, and 1 patient was wrongly included. Main outcomes and measures: Health-related quality of life was measured using the Facial Clinimetric Evaluation Scale and the Facial Disability Index (physical score and social score). Facial function was assessed with the Sunnybrook Facial Grading System. Other variables were investigated using validated questionnaires, including the Duke University Religion Index, Ten-Item Personality Inventory, and Hospital Anxiety and Depression Scale. Multivariable linear regression analyses with stepwise backward selection were performed to identify associations with health-related quality of life. Because 44 Sunnybrook composite scores were missing, a sensitivity analysis was performed that excluded the Sunnybrook composite scores from the multivariable analysis. Results: In total, 121 patients with facial palsy were included; their median age was 62 years (interquartile range, 48-71 years), and 63 (52%) were women. Sunnybrook composite score (‚Äö√¢√†‚àö‚â†‚Äö√Ñ√∂‚àö¬¢¬¨√ü = 0.4; 95% CI, 0.2-0.5), extraversion (‚Äö√¢√†‚àö‚â†‚Äö√Ñ√∂‚àö¬¢¬¨√ü = 2.6; 95% CI, 0.4-4.8), and anxiety (‚Äö√¢√†‚àö‚â†‚Äö√Ñ√∂‚àö¬¢¬¨√ü = -2.4; 95% CI, -4.1 to -0.8) were associated with the Facial Clinimetric Evaluation Scale total score (R2 = 0.380; 95% CI, 0.212-0.548). The Sunnybrook composite score was associated with the Facial Disability Index physical score (‚Äö√¢√†‚àö‚â†‚Äö√Ñ√∂‚àö¬¢¬¨√ü = 0.2; 95% CI, 0.0-0.4) (R2 = 0.084; 95% CI, -0.037 to 0.205). Bilateral facial palsy (‚Äö√¢√†‚àö‚â†‚Äö√Ñ√∂‚àö¬¢¬¨√ü = -21.2; 95% CI, -32.3 to -10.1), extraversion (‚Äö√¢√†‚àö‚â†‚Äö√Ñ√∂‚àö¬¢¬¨√ü = 2.7; 95% CI, 1.3-4.1), conscientiousness (‚Äö√¢√†‚àö‚â†‚Äö√Ñ√∂‚àö¬¢¬¨√ü = 2.7; 95% CI, 0.2-5.2), emotional stability (‚Äö√¢√†‚àö‚â†‚Äö√Ñ√∂‚àö¬¢¬¨√ü = 3.3; 95% CI, 1.7-4.8), and depression (‚Äö√¢√†‚àö‚â†‚Äö√Ñ√∂‚àö¬¢¬¨√ü = -1.3; 95% CI, -2.5 to -0.1) were associated with the Facial Disability Index social score (R2 = 0.400; 95% CI, 0.262-0.538). In the sensitivity analysis, the Sunnybrook composite score was associated with age (Spearman ‚Äö√¢√†‚àö¬®‚Äö√†√∂‚àö√± = -0.252). Conclusions and relevance: Bilateral facial palsy, age, severity of facial palsy, mental distress, and personality traits should be taken into account in future research and treatment of patients with facial palsy.",0,,0,0,0,7,2,1,0,10.1001/jamaoto.2019.4559,JAMA Otolaryngol Head Neck Surg. 2020 Apr 1;146(4):331-337. doi: 10.1001/jamaoto.2019.4559.,"Bruins TE, van Veen MM, Mooibroek-Leeuwerke T, Werker PMN, Broekstra DC, Dijkstra PU.",2020,32053138,"Ten-Item Personality Inventory, and Hospital Anxiety and Depression Scale.. Postive Outcomes: positive association between scales and scores looking at quality of life outcomes with facial palsy, not surgery ",121,,,,,no nerve transfer,,,,,,
Pub-med,Masseteric-Facial Nerve Anastomosis: Surgical Techniques and Outcomes-A Pilot Indian study,"Masseteric-facial anastomosis has gained popularity in recent days compared to the facial-hypoglossal anastomosis. Masseteric nerve has numerous advantages like its proximity to the facial nerve, stronger motor impulse, its reliability, low morbidity in harvesting and sacrificing the nerve and faster re-innervation that is achievable in most patients. The present case series demonstrate the surgical technique and the effectiveness of the masseteric nerve as donor for early facial reanimation. Between January 2017 and February 2019, 6 patients (2 male, 4 female) with iatrogenic unilateral complete facial paralysis (grade VI, House Brackmann scale) who underwent masseteric-facial nerve anastomosis were included in the study. The time interval between the onset of paralysis and surgery ranged from 4 to 18 months (mean 8.5 months). In all patients pre-operative electromyography had facial mimetic muscle fibrillation potentials. All patients underwent end to end anastomosis except for one patient where greater auricular interposition graft was used. In all cases, the facial muscles showed earliest sign of recovery at 2-5 months. These movements were first noticed on the cheek musculature when the patients activated their masseter muscle. Eye movements started appearing at 6-9 months (in 3 cases) and forehead movements at 18 months (in 1 case). According to the modified House-Brackmann grading scale, one patient had Grade I function, two patients had Grade II function, and three had Grade V function. There was no morbidity except one patient who underwent interposition graft had numbness in the ear lobule. None of the patients could feel the loss of masseteric nerve function. Masseteric facial nerve anastomosis is a versatile, powerful early facial dynamic reanimation tool with almost negligible morbidity compared to other neurotization procedures for patients with complete facial nerve paralysis.",4,,0,3,10,7,2,1,0,10.1007/s12070-019-01758-z,Indian J Otolaryngol Head Neck Surg. 2020 Mar;72(1):92-97. doi: 10.1007/s12070-019-01758-z. Epub 2019 Nov 6.,"Sakthivel P, Singh CA, Thakar A, Thirumeni G, Raveendran S, Sharma SC.",2020,32158663,Negative Outcomes: no spontaneous smile,6,2,18,"Multiple nerve grafts:masseteric nerve,hypoglossal",,Masseteric nerve transfer,Hypoglossal nerve transfer,,,,,
Pub-med,Masseter-to-Facial Cranial Nerve Anastomosis: A Report of 30 Cases,"Background: Facial nerve paralysis (FP) is a possible complication of cerebellopontine angle tumor surgery. Several donor nerves have been used in the past for facial reanimation. We report the results of 30 cases of masseter-to-facial anastomosis. Objective: To prospectively evaluate the efficacy of V to VII anastomosis after FP. Methods: In a prospective study, we included 30 consecutive patients with FP (20 women and 10 men) whose mean age was 48.8 yr (32-76 yr). In almost all cases, FP developed after cerebellopontine angle tumor surgery (29 patients), whereas in one case, FP occurred after skull base trauma. Pre- and postoperative evaluation of facial nerve function was performed using the House-Brackmann (HB) scale and the Sokolovsky scale, as well as by electromyography. Follow-up ranged from 11 to 51 mo and averaged 22 mo. Results: All patients achieved functional recovery of the facial nerve from VI to either III or IV HB degree. Patients with short time FP showed significantly better postoperative recovery. Conclusion: The results of the V to VII anastomosis demonstrate a significant improvement of facial nerve function and virtually no complications.",2,,0,0,0,7,8,3,0,10.1093/ons/opaa140,Oper Neurosurg (Hagerstown). 2020 Oct 15;19(5):502-509. doi: 10.1093/ons/opaa140.,"Zotov AV, Rzaev JA, Chernov SV, Dmitriev AB, Kalinovsky AV, Spallone A.",2020,32542367,,30,,,,,Masseteric nerve transfer,,,,,,
Pub-med,The mini-temporalis turnover flap for miDFace reanimation: Photogrammetric and patient-rated outcomes,"Background: Mini-temporalis transposition (MTT) flaps, modified from Gillies' technique, have become less popular than temporalis tendon transfers for miDFace reanimation. MTT involves raising the middle third of the temporalis, transposition over the zygomatic arch and lengthening with deep temporalis fascia which is sutured to the orbicularis oris. Aim: This retrospective study assessed subjective and objective outcomes following MTTs by a single surgeon from 2009 to 2019. Methods: Operative and surgical details were recorded. Four blinded consultants rated pre- and postoperative videos according to Terzis' scale. Pre- and postoperative resting, Mona Lisa and canine smile photographs were analysed using Emotrics, the software that automatically computes differences in inter-landmark distances. Patients also completed the Glasgow Benefit Inventory (GBI) patient-rated outcome measure. Results: Forty-one patients (mean age 65.8 ¬¨¬®¬¨¬Æ¬¨¬®¬¨¬± 15.5) underwent MTT, median 3 (0.4-57) years post-paralysis and were followed up for median of 2.2 (0.4-8.8) years. Higher mean postoperative Terzis score demonstrates symmetric and aesthetic improvements (3 ¬¨¬®¬¨¬Æ¬¨¬®¬¨¬± 1.3 vs. 2 ¬¨¬®¬¨¬Æ¬¨¬®¬¨¬± 1; p<0.05). Emotrics analysis showed postoperative improvements in resting and dynamic symmetry of all indices, with the majority statistically significant (p<0.003). The mean GBI was 35.19 with 17 (94.4%) patients reporting improvement, whereas one (5.6%) patient reported detriment after surgery. Two (5.4%) patients suffered complications: one haematoma and one infection. Four patients (9.8%) required revisional flap tightening. No patients requested revisional surgery for temporal hollowing or zygomatic fullness. Conclusions: MTT effectively improves both subjective and objective resting and dynamic miDFace symmetry in a single stage. These results suggest this technique is a good alternative to temporalis tendon transfer techniques.",0,,0,3,9,1,8,1,0,10.1016/j.bjps.2020.05.059,J Plast Reconstr Aesthet Surg. 2020 Dec;73(12):2185-2195. doi: 10.1016/j.bjps.2020.05.059. Epub 2020 May 26.,"Mabvuure NT, Pinto-Lopes R, Fernandez-Diaz O, Tzafetta K.",2020,32561385,"Glasglow, Terzis',Emotrics Negative Outcomes: bulkiness, infection, hematoma",41,,,,,no nerve transfer,,,,,,
Pub-med,Hypoglossal-Facial Side-to-End Neurorrhaphy With Concomitant Masseteric-Zygomatic Nerve Branch Coaptation and Muscle Transfer for Facial Reanimation: Technique and Case Report,"Background: Hypoglossal-facial direct side-to-end neurorrhaphy has become widely used for facial reanimation in patients with irreversible facial nerve damage. Although this procedure achieves good restoration of facial function, it has disadvantages such as mass movement and lack of spontaneity. Objective: To present a new facial reanimation technique using hypoglossal-facial direct side-to-end neurorrhaphy with concomitant masseteric-zygomatic nerve branch coaptation and secondary muscle transfer to reduce mass movement and achieve a spontaneous smile in patients with facial paralysis. Methods: This article describes a novel facial reanimation technique that employs hypoglossal and masseteric nerve transfer combined with secondary vascularized functional gracilis muscle transfer. Results: Details of the technique are reported in a patient with complete facial paralysis after brain surgery. The hypoglossal nerve was partially served and connected to the mastoid segment of the facial nerve by side-to-end anastomosis to restore facial symmetry. A nerve supplying the masseter muscle was coapted with a zygomatic branch by end-to-end anastomosis to restore voluntary movement of the oral commissure, as well as to assist with eye closure. A cross face sural nerve graft was connected to zygomatic branches on the healthy side. In the second stage, a vascularized functional gracilis muscle graft was transplanted using the cross face nerve graft as the donor nerve to restore a natural smile. Conclusion: Hypoglossal-facial neurorrhaphy with concomitant masseteric-zygomatic nerve branch coaptation and muscle transfer is an alternative facial reanimation technique that reduces mass movement and achieves a natural smile.",4,,1,3,2,9,4,1,0,10.1093/ons/opaa128,Oper Neurosurg (Hagerstown). 2020 Sep 1;19(3):E230-E235. doi: 10.1093/ons/opaa128.,Yoshioka N.,2020,32445574,"Positive Outcomes: symmetry, facial muscle tone hypoglossal nerve graft, a masseter muscle graft, and a sural nerve graft transplanted",1,,,"Multiple nerve grafts:masseteric nerve,hypoglossal,Sural nerve graft","hypoglossal nerve graft, a masseter muscle graft, and a sural nerve graft transplanted",Masseteric nerve transfer,Hypoglossal nerve transfer,Sural nerve graft,,,,
Pub-med,Comparative Study of 2 Different Innervation Techniques in Facial Reanimation: Cross-face Nerve Graft-Innervated Versus Double-Innervated Free Gracilis Muscle Transfer,"Recently, 1-stage double innervation with the masseter nerve and the CFNG has gained popularity owing to its outcomes of powerful and synchronous muscle contraction. In this study, we compared CFNG- and double-innervated free gracilis muscle transfer (FGMT) for facial palsy reconstruction.A total of 49 patients with facial palsy who underwent facial reanimation surgery from August 2013 to January 2017 were enrolled. The CFNG group (18 patients) underwent 2-stage CFNG innervation, whereas the double-innervated FGMT group (31 patients) underwent dual coaptation with end-to-end masseter nerve and end-to-side CFNG. The FACEgram software was used for evaluating smile excursion, symmetry index, spontaneous smile occurrence, Terzis' score including palsy pathogenesis, and clinical progress.In the CFNG group, the smile excursion at rest increased (P = 0.000); however, there was increased smile excursion both at rest and during smiling in the double-innervated FMGT group (rest P = 0.002, smile P = 0.028). Improvement of the symmetry index was observed only in the FMGT group (rest P = 0.001, smile P = 0.000). There was no significant difference in Terzis' scores. The average time to the first visible muscle contracture was statistically significantly shorter in the double-innervated FGMT group (P = 0.035). With respect to spontaneous smile achievement, the double-innervated FGMT group (25.8%) showed a satisfactory outcome.Cross-face nerve graft-innervated FGMT improved only smile excursion at rest, whereas double-innervated FGMT provided improvement in both the resting and smiling postures. Furthermore, the double-innervated FGMT group showed a higher symmetry index. However, the 2 operations did not show a significant difference in functional aspects.",6,Masseteric + CFNG,1,3,0,9,1,2,0,10.1097/SAP.0000000000002034,Ann Plast Surg. 2020 Feb;84(2):188-195. doi: 10.1097/SAP.0000000000002034.,"Kim MJ, Kim HB, Jeong WS, Choi JW, Kim YK, Oh TS.",2020,31688275,"CFNG and double-innervated free gracilis muscle transfer (FGMT); sural nerve harvested the lower leg, harvested gracilis muscle flap ",18,7,,"Multiple nerve grafts:cross-face,masseter nerve","CFNG and double-innervated free gracilis muscle transfer (FGMT); sural nerve harvested the lower leg, harvested gracilis muscle flap ",Double innervation,,,,,,
Pub-med,Lipofilling of the upper eyelid to treat paralytic lagophthalmos,"Lagophthalmos is one of the most unpleasant and dangerous conditions that affect patients with facial palsy. The lack of ocular protection leads to corneal problems (such as conjunctival infections, acute and chronic keratitis, corneal ulcerations, and blindness). A dynamic reanimation of blinking eyelids is the therapeutic gold standard. However, success is not guaranteed with these dynamic techniques; even if results are good, blinking is usually restored within a year of the initial operation. Procedures that act more rapidly and have a higher success rate are needed. We proposed that lipofilling of the upper eyelid would improve eye closure, exploit the advantages of using autologous fat, and avoid the risks of exposure or migration associated with loading the lid with gold. Between 2012 and September 2018, we did upper eyelid lipofilling procedures for 75 patients with unilateral facial palsy. The main favourable result of lipofilling of the upper lid was the immediate improvement in corneal discomfort. Everybody described a partial to total increase in corneal comfort postoperatively. In the treatment of paralytic lagophthalmos, lipofilling of the upper eyelid produces favourable aesthetic and functional results, ocular health is restored, and the patients' quality of life is improved.",0,,0,0,0,5,3,1,0,10.1016/j.bjoms.2020.02.017,Br J Oral Maxillofac Surg. 2020 Jun;58(5):558-563. doi: 10.1016/j.bjoms.2020.02.017. Epub 2020 Mar 4.,"Biglioli F, Rabbiosi D, Bolognesi F, Cucurullo M, Dessy M, Ciardiello C, Battista VMA, Tarabbia F, Dell'Aversana Orabona G, Marchetti C, Allevi F.",2020,32145955,Positive Outcome: improvement in corneal discomfort. Autologous fat from abdominal or gluteal region or from lasteral surface of the thigh,75,,,,,no nerve transfer,,,,,,
Pub-med,A Modified Technique of Transposition of Temporalis Muscle in Selected Cases of Longstanding Facial Paralysis,"The authors present a modified technique of temporalis muscle transposition technique in cases of longstanding facial paralysis. Slips of the temporalis fascia were passed through the tunnels to reach the contralateral para-median plane. The procedure provides 2 point of fixation to the transferred muscle. Local flaps were used for temporal hollow obliteration and for temporalis muscle elongation.This case series included 11 patients. The modified technique was performed for all patients to reanimate the lower face while gold weight impanation in the upper eye lid was used for re-animation of the eye in 9 patients. By the end of follow up, the procedure was considered successful in 9 patients. Eight patients expressed their satisfaction and 7 patients were happy with the regained facial movement.The modified temporalis muscle transfer technique might be a valuable option in cases of longstanding facial paralysis. The lips would be camouflaged, non-stretched and would move with the whole mid-face.",0,,0,1,0,4,6,2,0,10.1097/SCS.0000000000005804,J Craniofac Surg. 2020 Jan/Feb;31(1):e1-e4. doi: 10.1097/SCS.0000000000005804.,"Askar SM, Mohammed NN, Elibiary HA.",2020,31403508,"PO: facial movement, pt satisfaction. Deep temporal fascial slings pedicled on the superficial temporal artery",11,,,,,no nerve transfer,,,,,,
Pub-med,Side-to-End Hypoglossal-Facial Neurorrhaphy for Treatment of Complete and Irreversible Facial Paralysis after Vestibular Schwannoma Removal by Means of a Retrosigmoid Approach: A Clinical and Anatomic Study,"Background: Facial paralysis secondary to a complete and irreversible anatomic or functional lesion of the facial nerve (FN) causes severe functional and psychological disorders for the patient. A large number of surgical techniques have therefore been developed for FN repair. Our objective was to propose a surgical FN reanimation protocol for patients with irreversible anatomic or functional postsurgical injury of the FN in the cerebellopontine angle after vestibular schwannoma resection. Methods: The clinical study included a total of 16 patients undergoing side-to-end hypoglossal-facial neurorrhaphy (SEHFN) since 2010, in which the FN injury was always secondary to vestibular schwannoma surgery in the cerebellopontine angle using a retrosigmoid approach. All patients had complete clinical facial paralysis at the time of the SEHFN. The anatomic study was conducted using 3 heads and necks (6 SEHFN). Results: Twelve months after surgery, FN function assessment with the House and Brackmann scale showed 2 patients with grade II, 13 patients with grade III, and only 1 patient with grade IV, and after 2 years, 4 patients had grade II, 11 patients had grade III, and 1 patient had grade IV. The average length of the anastomotic translocation portion of the FN in the anatomic study was 34.76 mm. Conclusions: Side-to-end epineural suture of the FN, mobilizing its mastoid segment on the hypoglossal nerve with partial section of the dorsal aspect of the hypoglossal nerve, is a safe anatomic surgical technique for FN reanimation with outstanding clinical results.",3,,0,0,10,7,2,1,0,10.1016/j.wneu.2019.12.149,World Neurosurg. 2020 Apr;136:e262-e269. doi: 10.1016/j.wneu.2019.12.149. Epub 2020 Jan 2.,"Gonz‚Äö√Ñ√∂‚àö‚Ä†‚àö‚àÇ¬¨¬®‚Äö√†√ªlez-Darder JM, Capilla-Guasch P, Escart‚Äö√Ñ√∂‚àö‚Ä†‚àö‚àÇ‚Äö√Ñ√∂‚àö¬¢‚Äö√Ñ‚Ä†n FP, Quilis-Quesada V.",2020,31904436,"NO: dysphagia, ear owing",16,,,,,Hypoglossal nerve transfer,,,,,,
